site,biological_row_id,plant_global_rtl,plant_uid,measurement_round_within_site,measurement_datetime,measurement_date,manual_height_cm,source_sheet,source_cell
Marsden,M-0006,11,M-0006-p11,5,2024-07-23T09:07:00-05:00,2024-07-23,98.0,Plant height ground truth-cm,I12
Marsden,M-0006,11,M-0006-p11,6,2024-07-28T08:30:00-05:00,2024-07-28,117.0,Plant height ground truth-cm,J12
Marsden,M-0013,1,M-0013-p01,1,2024-07-05T09:30:00-05:00,2024-07-05,53.0,Plant height ground truth-cm,D13
Marsden,M-0013,1,M-0013-p01,2,2024-07-10T13:12:00-05:00,2024-07-10,76.0,Plant height ground truth-cm,F13
Marsden,M-0013,1,M-0013-p01,3,2024-07-15T08:05:00-05:00,2024-07-15,102.0,Plant height ground truth-cm,G13
Marsden,M-0013,1,M-0013-p01,4,2024-07-18T08:30:00-05:00,2024-07-18,114.0,Plant height ground truth-cm,H13
Marsden,M-0013,1,M-0013-p01,5,2024-07-23T09:07:00-05:00,2024-07-23,122.0,Plant height ground truth-cm,I13
Marsden,M-0013,1,M-0013-p01,6,2024-07-28T08:30:00-05:00,2024-07-28,147.0,Plant height ground truth-cm,J13
Marsden,M-0013,2,M-0013-p02,1,2024-07-05T09:30:00-05:00,2024-07-05,47.0,Plant height ground truth-cm,D14
Marsden,M-0013,2,M-0013-p02,2,2024-07-10T13:12:00-05:00,2024-07-10,69.0,Plant height ground truth-cm,F14
Marsden,M-0013,2,M-0013-p02,3,2024-07-15T08:05:00-05:00,2024-07-15,92.0,Plant height ground truth-cm,G14
Marsden,M-0013,2,M-0013-p02,4,2024-07-18T08:30:00-05:00,2024-07-18,115.0,Plant height ground truth-cm,H14
Marsden,M-0013,2,M-0013-p02,5,2024-07-23T09:07:00-05:00,2024-07-23,123.0,Plant height ground truth-cm,I14
Marsden,M-0013,2,M-0013-p02,6,2024-07-28T08:30:00-05:00,2024-07-28,161.0,Plant height ground truth-cm,J14
Marsden,M-0013,3,M-0013-p03,1,2024-07-05T09:30:00-05:00,2024-07-05,63.0,Plant height ground truth-cm,D15
Marsden,M-0013,3,M-0013-p03,2,2024-07-10T13:12:00-05:00,2024-07-10,80.0,Plant height ground truth-cm,F15
Marsden,M-0013,3,M-0013-p03,3,2024-07-15T08:05:00-05:00,2024-07-15,100.0,Plant height ground truth-cm,G15
Marsden,M-0013,3,M-0013-p03,4,2024-07-18T08:30:00-05:00,2024-07-18,112.0,Plant height ground truth-cm,H15
Marsden,M-0013,3,M-0013-p03,5,2024-07-23T09:07:00-05:00,2024-07-23,135.0,Plant height ground truth-cm,I15
Marsden,M-0013,3,M-0013-p03,6,2024-07-28T08:30:00-05:00,2024-07-28,160.0,Plant height ground truth-cm,J15
Marsden,M-0013,4,M-0013-p04,1,2024-07-05T09:30:00-05:00,2024-07-05,63.0,Plant height ground truth-cm,D16
Marsden,M-0013,4,M-0013-p04,2,2024-07-10T13:12:00-05:00,2024-07-10,78.0,Plant height ground truth-cm,F16
Marsden,M-0013,4,M-0013-p04,3,2024-07-15T08:05:00-05:00,2024-07-15,90.0,Plant height ground truth-cm,G16
Marsden,M-0013,4,M-0013-p04,4,2024-07-18T08:30:00-05:00,2024-07-18,108.0,Plant height ground truth-cm,H16
Marsden,M-0013,4,M-0013-p04,5,2024-07-23T09:07:00-05:00,2024-07-23,128.0,Plant height ground truth-cm,I16
Marsden,M-0013,4,M-0013-p04,6,2024-07-28T08:30:00-05:00,2024-07-28,160.0,Plant height ground truth-cm,J16
Marsden,M-0013,5,M-0013-p05,1,2024-07-05T09:30:00-05:00,2024-07-05,55.0,Plant height ground truth-cm,D17
Marsden,M-0013,5,M-0013-p05,2,2024-07-10T13:12:00-05:00,2024-07-10,80.0,Plant height ground truth-cm,F17
Marsden,M-0013,5,M-0013-p05,3,2024-07-15T08:05:00-05:00,2024-07-15,94.0,Plant height ground truth-cm,G17
Marsden,M-0013,5,M-0013-p05,4,2024-07-18T08:30:00-05:00,2024-07-18,103.0,Plant height ground truth-cm,H17
Marsden,M-0013,5,M-0013-p05,5,2024-07-23T09:07:00-05:00,2024-07-23,135.0,Plant height ground truth-cm,I17
Marsden,M-0013,5,M-0013-p05,6,2024-07-28T08:30:00-05:00,2024-07-28,155.0,Plant height ground truth-cm,J17
Marsden,M-0013,6,M-0013-p06,1,2024-07-05T09:30:00-05:00,2024-07-05,56.0,Plant height ground truth-cm,D18
Marsden,M-0013,6,M-0013-p06,2,2024-07-10T13:12:00-05:00,2024-07-10,78.0,Plant height ground truth-cm,F18
Marsden,M-0013,6,M-0013-p06,3,2024-07-15T08:05:00-05:00,2024-07-15,95.0,Plant height ground truth-cm,G18
Marsden,M-0013,6,M-0013-p06,4,2024-07-18T08:30:00-05:00,2024-07-18,110.0,Plant height ground truth-cm,H18
Marsden,M-0013,6,M-0013-p06,5,2024-07-23T09:07:00-05:00,2024-07-23,130.0,Plant height ground truth-cm,I18
Marsden,M-0013,6,M-0013-p06,6,2024-07-28T08:30:00-05:00,2024-07-28,154.0,Plant height ground truth-cm,J18
Marsden,M-0013,7,M-0013-p07,1,2024-07-05T09:30:00-05:00,2024-07-05,67.0,Plant height ground truth-cm,D19
Marsden,M-0013,7,M-0013-p07,2,2024-07-10T13:12:00-05:00,2024-07-10,78.0,Plant height ground truth-cm,F19
Marsden,M-0013,7,M-0013-p07,3,2024-07-15T08:05:00-05:00,2024-07-15,100.0,Plant height ground truth-cm,G19
Marsden,M-0013,7,M-0013-p07,4,2024-07-18T08:30:00-05:00,2024-07-18,109.0,Plant height ground truth-cm,H19
Marsden,M-0013,7,M-0013-p07,5,2024-07-23T09:07:00-05:00,2024-07-23,135.0,Plant height ground truth-cm,I19
Marsden,M-0013,7,M-0013-p07,6,2024-07-28T08:30:00-05:00,2024-07-28,169.0,Plant height ground truth-cm,J19
Marsden,M-0013,8,M-0013-p08,1,2024-07-05T09:30:00-05:00,2024-07-05,70.0,Plant height ground truth-cm,D20
Marsden,M-0013,8,M-0013-p08,2,2024-07-10T13:12:00-05:00,2024-07-10,83.0,Plant height ground truth-cm,F20
Marsden,M-0013,8,M-0013-p08,3,2024-07-15T08:05:00-05:00,2024-07-15,97.0,Plant height ground truth-cm,G20
Marsden,M-0013,8,M-0013-p08,4,2024-07-18T08:30:00-05:00,2024-07-18,113.0,Plant height ground truth-cm,H20
Marsden,M-0013,8,M-0013-p08,5,2024-07-23T09:07:00-05:00,2024-07-23,128.0,Plant height ground truth-cm,I20
Marsden,M-0013,8,M-0013-p08,6,2024-07-28T08:30:00-05:00,2024-07-28,151.0,Plant height ground truth-cm,J20
Marsden,M-0013,9,M-0013-p09,1,2024-07-05T09:30:00-05:00,2024-07-05,57.0,Plant height ground truth-cm,D21
Marsden,M-0013,9,M-0013-p09,2,2024-07-10T13:12:00-05:00,2024-07-10,77.0,Plant height ground truth-cm,F21
Marsden,M-0013,9,M-0013-p09,3,2024-07-15T08:05:00-05:00,2024-07-15,97.0,Plant height ground truth-cm,G21
Marsden,M-0013,9,M-0013-p09,4,2024-07-18T08:30:00-05:00,2024-07-18,103.0,Plant height ground truth-cm,H21
Marsden,M-0013,9,M-0013-p09,5,2024-07-23T09:07:00-05:00,2024-07-23,122.0,Plant height ground truth-cm,I21
