plant_uid,scenario,single_frame_rmse_cm,post_hoc_rmse_cm,prior_in_detection_rmse_cm,post_hoc_coverage_95,prior_in_detection_coverage_95,prior_in_detection_truth_closest_rate
irregular_times_018,irregular_times,2.9881540052969098,3.1590946180145605,3.1351078048584116,0.9166666666666666,1.0,1.0
irregular_times_019,irregular_times,12.657459429557486,9.875625309217243,3.814456618442093,0.9166666666666666,0.9166666666666666,1.0
irregular_times_020,irregular_times,2.2379073970196663,2.7868264737008897,12.52776306228066,1.0,0.9166666666666666,0.9166666666666666
irregular_times_021,irregular_times,16.877728977685283,15.273054336075589,2.2392290694435606,0.9166666666666666,1.0,1.0
irregular_times_022,irregular_times,3.128242062778128,3.3028820136161143,9.573292687760167,1.0,0.9166666666666666,0.9166666666666666
irregular_times_023,irregular_times,12.681897681280896,12.161517017524037,21.537532652992834,0.75,0.75,0.8333333333333334
irregular_times_024,irregular_times,23.754243783233957,19.245422689554864,2.9320161953678867,0.9166666666666666,1.0,1.0
irregular_times_025,irregular_times,17.308379520429245,10.603992151135577,3.0191195685293786,1.0,1.0,1.0
irregular_times_026,irregular_times,2.5682079260744115,2.980537257443943,2.9224928391582616,1.0,1.0,1.0
irregular_times_027,irregular_times,2.912467512240867,3.097510320736934,3.0469506887380415,1.0,1.0,1.0
irregular_times_028,irregular_times,3.4001139752032117,3.4586067593334264,3.3657397212683926,0.9166666666666666,1.0,1.0
irregular_times_029,irregular_times,2.999814544530084,3.18988900740617,21.098149845722144,1.0,0.8333333333333334,0.9166666666666666
irregular_times_030,irregular_times,3.092685256090148,2.9294833340408655,2.9148114131490854,1.0,1.0,1.0
irregular_times_031,irregular_times,9.427147642743247,10.088564770746128,2.196943026337295,0.9166666666666666,1.0,1.0
irregular_times_032,irregular_times,12.661160941966166,9.291727682173555,11.977207984042346,1.0,0.9166666666666666,0.9166666666666666
irregular_times_033,irregular_times,2.610851051066704,2.6990211097659236,2.764179456168994,1.0,1.0,1.0
irregular_times_034,irregular_times,20.535914347877704,18.36872373361475,14.866799070983337,0.9166666666666666,0.9166666666666666,0.9166666666666666
irregular_times_035,irregular_times,4.091819594912407,3.6878886121969088,3.686778584101181,1.0,1.0,1.0
irregular_times_036,irregular_times,2.4125992414253075,2.400063309320593,2.587807630897357,1.0,1.0,1.0
irregular_times_037,irregular_times,17.962018969537763,11.183438870523249,10.346231556854564,0.9166666666666666,0.9166666666666666,0.9166666666666666
irregular_times_038,irregular_times,2.1476584612476857,2.2653238856430757,2.317540632040624,1.0,1.0,1.0
irregular_times_039,irregular_times,9.35895349927407,7.667254409146391,2.446989630980612,1.0,1.0,1.0
irregular_times_040,irregular_times,20.9472622212859,21.24697322356112,16.638036930200432,0.9166666666666666,0.8333333333333334,0.9166666666666666
irregular_times_041,irregular_times,15.127059007888016,5.10982163402391,2.029997309448166,1.0,1.0,1.0
irregular_times_042,irregular_times,18.214776140240826,12.256130808510024,9.949828566912412,0.9166666666666666,0.9166666666666666,0.9166666666666666
irregular_times_043,irregular_times,16.40784477389554,10.914107410698481,10.689035753978237,0.9166666666666666,0.9166666666666666,0.9166666666666666
irregular_times_044,irregular_times,2.8933268202444222,2.7088751806278197,2.7607050252324203,1.0,1.0,1.0
irregular_times_045,irregular_times,15.919329654487731,15.690429598224835,14.84394725781416,0.8333333333333334,0.8333333333333334,0.8333333333333334
irregular_times_046,irregular_times,20.324091169452746,14.361412555653239,3.5649721661909597,1.0,1.0,1.0
irregular_times_047,irregular_times,16.34036342250846,11.152873144261882,10.768078987552093,1.0,0.8333333333333334,0.9166666666666666
irregular_times_048,irregular_times,9.166083234190499,6.10855596808186,3.2032456609667253,1.0,1.0,1.0
irregular_times_049,irregular_times,11.97583948826055,13.85856774919149,15.906985848218826,0.9166666666666666,0.9166666666666666,0.9166666666666666
irregular_times_050,irregular_times,17.72899895111129,16.485551619792222,2.9774920029690777,0.9166666666666666,1.0,1.0
irregular_times_051,irregular_times,9.926615152331745,8.211859949985147,13.572935258632112,1.0,0.9166666666666666,0.9166666666666666
irregular_times_052,irregular_times,15.912481069081034,8.42689175862382,4.666892218530856,0.9166666666666666,0.9166666666666666,1.0
irregular_times_053,irregular_times,1.9582147914949983,2.354505151929975,2.3884169536889526,1.0,1.0,1.0
irregular_times_054,irregular_times,7.889817099080255,7.914346465750562,7.905844999440335,0.9166666666666666,0.9166666666666666,0.9166666666666666
irregular_times_055,irregular_times,3.500597965904154,4.060675784885516,10.197608291387587,0.9166666666666666,0.8333333333333334,0.9166666666666666
irregular_times_056,irregular_times,2.9899939570365155,2.9996959073466734,3.1176153516082787,1.0,0.9166666666666666,1.0
irregular_times_057,irregular_times,17.48079956242496,10.46057093823468,2.3096200693502276,1.0,1.0,1.0
