camera,day,image,x_top,y_top,x_root,y_root,x_root_frac,height_px,conf,image_width
C_009,07_30,11430.21-C-009_2021-07-30-13-22_CAM374.JPG,434.4369201660156,468.81103515625,431.0203552246094,790.4328002929688,0.5575942499671531,321.62176513671875,0.8577938675880432,773
C_009,07_30,11430.21-C-009_2021-07-30-13-22_CAM374.JPG,191.68470764160156,490.0694274902344,198.1787109375,830.7796630859375,0.256376081419793,340.7102355957031,0.8190237283706665,773
C_009,07_30,11430.21-C-009_2021-07-30-13-22_CAM374.JPG,351.3318786621094,495.968017578125,356.9424133300781,819.1177978515625,0.46176250107383976,323.1497802734375,0.8029788732528687,773
C_009,07_30,11430.21-C-009_2021-07-30-13-22_CAM374.JPG,12.498490333557129,472.2208251953125,19.55890655517578,691.3564453125,0.02530259580229726,219.1356201171875,0.09401018172502518,773
C_009,08_06,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,282.0703125,504.5365905761719,285.87677001953125,820.7693481445312,0.36982764556213615,316.2327575683594,0.8813384771347046,773
C_009,08_06,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,92.95735168457031,463.8337097167969,104.66976165771484,815.8649291992188,0.1354071949000192,352.0312194824219,0.8222352266311646,773
C_009,08_06,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,190.60499572753906,500.42919921875,197.55526733398438,828.3692626953125,0.2555695567063187,327.9400634765625,0.8140420317649841,773
C_009,08_06,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,357.85504150390625,505.7265625,366.3148498535156,805.8844604492188,0.47388725724904995,300.15789794921875,0.7861316204071045,773
C_009,08_06,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,430.27972412109375,487.32257080078125,427.4194641113281,796.362548828125,0.5529359173497129,309.03997802734375,0.7187427878379822,773
C_010,07_02,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,188.3828125,670.1353149414062,207.68577575683594,831.5217895507812,0.2686750009790892,161.386474609375,0.8718667030334473,773
C_010,07_02,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,349.2980041503906,653.7173461914062,362.272216796875,820.0521240234375,0.46865746028056277,166.33477783203125,0.8244192600250244,773
C_010,07_02,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,275.7436828613281,644.437744140625,285.21759033203125,824.2861328125,0.36897489046834575,179.848388671875,0.8173490166664124,773
C_010,07_02,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,521.510986328125,680.4827880859375,532.724853515625,834.4254150390625,0.6891653991146507,153.942626953125,0.8142048716545105,773
C_010,07_02,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,603.3956909179688,681.987548828125,612.5511474609375,831.7235107421875,0.7924335672198415,149.7359619140625,0.8020983934402466,773
C_010,07_02,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,428.1193542480469,647.4298706054688,437.3563537597656,824.4548950195312,0.5657908845533838,177.0250244140625,0.8004530072212219,773
C_010,07_11,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,499.7297058105469,626.5730590820312,506.07623291015625,798.14208984375,0.6546911163132682,171.56903076171875,0.8691949248313904,773
C_010,07_11,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,391.2940368652344,731.5940551757812,417.5608825683594,895.978271484375,0.5401822542928323,164.38421630859375,0.8060118556022644,773
C_010,07_11,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,260.2517395019531,635.867431640625,279.15155029296875,857.2626953125,0.3611274906765443,221.395263671875,0.7490440011024475,773
C_010,07_11,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,157.1217041015625,663.006103515625,173.14344787597656,861.042724609375,0.22398893645016374,198.03662109375,0.6793180108070374,773
C_010,07_11,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,599.86376953125,635.9059448242188,614.295654296875,827.2821655273438,0.7946903677837969,191.376220703125,0.6560189127922058,773
C_010,07_11,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,187.8580780029297,663.9241333007812,192.36184692382812,866.942626953125,0.24885103094932487,203.01849365234375,0.30271080136299133,773
C_010,07_18,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,473.0148620605469,541.6097412109375,482.08245849609375,810.5388793945312,0.6236513046521265,268.92913818359375,0.8656031489372253,773
C_010,07_18,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,259.82861328125,586.4832153320312,271.4770202636719,840.4346923828125,0.35119925001768676,253.95147705078125,0.8040148615837097,773
