replicate,single_frame_mae_cm,bayesian_mae_cm,mae_gain_cm,single_frame_minus_bayesian_mae_cm,ewma_minus_bayesian_mae_cm,running_median3_minus_bayesian_mae_cm,holt_minus_bayesian_mae_cm,gaussian_kalman_minus_bayesian_mae_cm,coverage_80_percent,width_80_cm,coverage_95_percent,width_95_cm
14809,13.370109472562808,12.501918175949571,0.8681912966132366,0.8681912966132366,2.4359008876515116,2.4393479296029685,0.24941102018413908,-0.015050104738920211,88.88888888888889,55.99146813363961,100.0,97.52165222364565
14810,17.113619892754063,16.116353180751524,0.9972667120025385,0.9972667120025385,2.1900135824559612,2.486590157864562,0.09451474344455235,-0.016164535211313336,82.53968253968253,56.063667533352756,97.88359788359789,97.64740361013862
14811,14.558925438397635,13.52584136985601,1.0330840685416245,1.0330840685416245,2.530310397954427,2.2115558125146677,0.26576418326046714,-0.011537698363760285,86.54708520179372,55.964560864457084,98.65470852017937,97.4747872023313
14812,15.717491023102633,15.029523499471738,0.6879675236308955,0.6879675236308955,2.4724237416816113,2.538083079699865,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002357,98.36956521739131,97.43002652212564
14813,19.41092353269328,19.00652488263599,0.4043986500572885,0.4043986500572885,2.529889770749943,2.6934355885935766,0.43700352083684635,-0.008553506994722682,74.12587412587412,55.85608957104732,95.8041958041958,97.28586020854522
14814,19.41092353269328,19.00652488263599,0.4043986500572885,0.4043986500572885,2.529889770749943,2.6934355885935766,0.43700352083684635,-0.008553506994722682,74.12587412587412,55.85608957104732,95.8041958041958,97.28586020854522
14815,21.06903970712684,20.260077604568814,0.8089621025580271,0.8089621025580271,2.167302944810828,2.6224293401385737,0.14223174648742898,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.56832710856112
14816,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648742898,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.56832710856112
14817,15.717491023102637,15.029523499471738,0.6879675236308991,0.6879675236308991,2.4724237416816113,2.538083079699865,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002359,98.36956521739131,97.43002652212566
14818,15.079103360041424,14.15198633031568,0.9271170297257445,0.9271170297257445,2.323647987453544,2.4609150338093464,0.1786975025421551,-0.01555886647631688,85.99033816425121,56.024428729160825,99.03381642512076,97.57906046530547
