rowid,date_md,plantid,source_image,x_root_recovered_px,x_root_pose_px,x_match_distance_px,pose_height_px,pose_confidence,date,height_true,height_est_cm,height_sam,pose_geometry_height_cm_2021,held_out_row,cv_prediction_cm,cv_error_cm
C_005,07_30,p4,CO255.21-C-005_2021-07-30-11-45_CAM811.JPG,299.0,303.08184814453125,4.08184814453125,292.7104187011719,0.8099932074546814,2021-07-30,130,128.50876,129.756417864078,121.73416519195555,C_005,134.09774207317028,4.097742073170281
C_005,08_06,p4,CO255.21-C-005_2021-08-06-13-23_CAM811.JPG,301.0,313.0048828125,12.0048828125,295.3579406738281,0.7602334022521973,2021-08-06,130,125.5975583171521,130.588189773463,122.83523251507567,C_005,135.28068388044443,5.280683880444428
C_005,07_11,p5,CO255.21-C-005_2021-07-11-14-43_CAM811.JPG,235.0,224.15814208984372,10.841857910156278,275.26416015625,0.9095373153686525,2021-07-11,108,113.95275158576052,116.863953268608,114.47851051074218,C_005,126.30256272189334,18.302562721893338
C_005,07_18,p5,CO255.21-C-005_2021-07-18-11-39_CAM811.JPG,203.0,221.9078521728516,18.90785217285159,309.3772888183594,0.8687819242477417,2021-07-18,132,136.82647909385113,132.251733592233,128.6656831375122,C_005,141.54468214077184,9.54468214077184
C_005,07_30,p5,CO255.21-C-005_2021-07-30-11-45_CAM811.JPG,225.0,217.090576171875,7.909423828125,323.31231689453125,0.8286750316619873,2021-07-30,140,144.936255210356,127.261102135922,134.461066223999,C_005,147.77100527126663,7.771005271266631
C_005,08_06,p5,CO255.21-C-005_2021-08-06-13-23_CAM811.JPG,224.0,220.1242218017578,3.8757781982421875,280.6337585449219,0.8581789135932922,2021-08-06,138,133.91527741100325,130.17230381877,116.71165130621337,C_005,128.7017580780924,-9.29824192190759
C_009,07_11,p1,11430.21-C-009_2021-07-11-13-26_CAM374.JPG,444.0,442.1199645996094,1.880035400390625,167.3975830078125,0.7930458784103394,2021-07-11,78,78.18655948220065,77.3547875728155,69.61831120678711,C_009,79.05871875053768,1.058718750537679
C_009,07_18,p1,11430.21-C-009_2021-07-18-16-20_CAM374.JPG,432.0,439.8470153808594,7.847015380859375,235.92596435546875,0.798041582107544,2021-07-18,120,116.0321813592233,114.784523495146,98.11830561193847,C_009,109.17958624464612,-10.820413755353883
C_009,07_30,p1,11430.21-C-009_2021-07-30-13-22_CAM374.JPG,423.0,428.3462219238281,5.346221923828125,346.5060119628906,0.8365799188613892,2021-07-30,142,149.71894368932038,154.293689190938,144.10699929119872,C_009,157.78378345423442,15.783783454234424
C_009,08_06,p1,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,425.0,426.1310424804688,1.1310424804688068,311.13751220703125,0.4648682475090027,2021-08-06,148,146.8077420064725,143.896540323625,129.3977354017334,C_009,142.23796326030566,-5.762036739694338
C_009,07_11,p2,11430.21-C-009_2021-07-11-13-26_CAM374.JPG,372.0,378.62701416015625,6.62701416015625,188.04229736328125,0.8579748272895813,2021-07-11,70,86.71222155339805,85.2566207119741,78.20415888122558,C_009,88.13286720298846,18.132867202988464
C_009,07_18,p2,11430.21-C-009_2021-07-18-16-20_CAM374.JPG,365.0,368.3205261230469,3.320526123046875,208.52667236328125,0.6972156763076782,2021-07-18,100,102.72383080906148,103.971488673139,86.72332366247558,C_009,97.13654032266197,-2.863459677338028
