rowid,plantid,date_md,date,height_true,height_est_cm,height_sam,plant_uid,max_gust,measurement_sd_cm,is_endpoint,online_sequence_number,elapsed_days,predictive_mean_cm,predictive_sd_cm,predictive_q025_cm,predictive_q975_cm,predictive_log_score,predictive_pit,last_observation_prediction_cm,linear_extrapolation_prediction_cm,posterior_mean_cm,posterior_sd_cm,posterior_q025_cm,posterior_q10_cm,posterior_median_cm,posterior_q90_cm,posterior_q975_cm,posterior_growth_mean_cm_day,posterior_growth_sd_cm_day,outlier_posterior_probability,effective_sample_size
C_005,p5,07_18,2021-07-18,132,136.82647909385113,132.251733592233,C_005_p5,8,12.0,False,2,7.0,127.24643558003707,55.793455557911464,17.89126268653061,236.60160847354354,-4.99025529316196,0.5357416433934586,116.863953268608,116.863953268608,131.34172433353365,14.348574915539004,105.1320521363537,115.99943116177364,131.3186475043873,147.43328491948157,157.05876960365148,2.4799815834725694,1.0828017635806122,0.04690498054083285,1529.4012417163026
C_005,p5,07_30,2021-07-30,140,144.936255210356,127.261102135922,C_005_p5,11,17.39999999946,False,3,12.0,161.4036363954528,37.90208486013241,87.11555006959327,235.69172272131232,-4.971486174204534,0.18384497513381137,132.251733592233,158.63078557559012,135.52722871676949,16.93255797707803,103.7136397987382,114.31775147101061,135.36067821971594,155.96629480057064,169.273149638787,2.3804768588733918,1.3329963847885304,0.04864379064408777,2277.1970511114027
C_005,p5,08_06,2021-08-06,138,133.91527741100325,130.17230381877,C_005_p5,11,17.39999999946,True,4,7.0,152.126659940842,33.091360485085715,87.26759339007398,216.98572649161,-4.65846054469638,0.25352223114114814,127.261102135922,124.34990045307393,136.5994725106939,15.476950599607614,106.73424543796547,117.46367187968983,136.2246058135943,156.07307794820008,167.69730877761796,2.356671099330771,1.0504449896936383,0.0395417762717581,2957.67265681047
C_009,p1,07_11,2021-07-11,78,78.18655948220065,77.3547875728155,C_009_p1,18,29.9999999982,False,1,0.0,,,,,,,,,76.86570237045765,29.754164362764996,18.033486745701712,38.51594009248044,76.61860457888753,115.06008721794355,135.24364521607924,1.3412548884124784,5.623310061386768,,5000.0
C_009,p1,07_18,2021-07-18,120,116.0321813592233,114.784523495146,C_009_p1,8,12.0,False,2,7.0,87.13342757514746,54.50060290312836,-19.687754114984116,193.95460926527903,-5.187429185595384,0.6940467531197699,77.3547875728155,77.3547875728155,112.49859527394398,15.413094832910884,83.00700678792009,96.83629362422275,112.55467019773779,128.7295531909689,138.6352656804934,3.2253413489883016,1.1512380409057121,0.05327666673515469,1284.6261074161382
C_009,p1,07_30,2021-07-30,142,149.71894368932038,154.293689190938,C_009_p1,11,17.39999999946,False,3,12.0,151.41692101514727,38.21960302918704,76.50649907794066,226.3273429523539,-4.577040383418263,0.5299998326945018,114.784523495146,178.949785076284,153.6939109645172,15.9110517459262,122.03535674896614,133.8708902625837,153.81245262771301,172.9856393357092,185.1261198006593,2.020021472809669,1.2810985933521248,0.036989446143549515,3124.100790704726
C_009,p1,08_06,2021-08-06,148,146.8077420064725,143.896540323625,C_009_p1,11,17.39999999946,True,4,7.0,168.24081321464217,32.80849312559042,103.93616668848496,232.5454597407994,-4.705950822115688,0.22904024222602082,154.293689190938,177.34070251348334,151.1204894745649,15.5629090632964,121.59492597216858,131.108403992744,151.17870387593422,170.37359457418015,182.24679618687514,2.0708063534715784,1.0026305608584098,0.0410045959929182,1778.604415764786
C_009,p2,07_11,2021-07-11,70,86.71222155339805,85.2566207119741,C_009_p2,18,29.9999999982,False,1,0.0,,,,,,,,,85.15715042885012,29.947393137375695,24.58657444547882,47.176588088120226,84.80215777116237,123.76539768917752,143.80484046033638,1.5446559217556284,5.689395454141644,,5000.0
C_009,p2,07_18,2021-07-18,100,102.72383080906148,103.971488673139,C_009_p2,8,12.0,False,2,7.0,96.30789702639134,55.31609798082289,-12.111655016021516,204.72744906880422,-5.060411914271929,0.5550938807814165,85.2566207119741,85.2566207119741,102.56970663494701,14.849412109839271,75.61838394247557,86.41503029584396,102.38356892103782,119.2227514879671,129.11615266920907,3.7868022238595374,1.3429953259147964,0.049995589744285834,1451.6373380771454
C_009,p2,07_30,2021-07-30,126,136.41059313915858,135.578821229773,C_009_p2,11,17.39999999946,False,3,12.0,148.08797169360219,37.68431923817237,74.22670598678434,221.94923740042003,-4.615804303586481,0.36996510328398113,103.971488673139,136.05411946370742,138.39619695627044,16.05367684299083,106.98793976421992,118.65519500068116,138.18218122778393,158.26450182325664,170.19395430549665,2.3353149482310878,1.2867515362807747,0.03802525480418209,3044.589610250323
C_009,p2,08_06,2021-08-06,132,133.4993914563107,134.331163365696,C_009_p2,11,17.39999999946,True,4,7.0,154.7544707081051,32.81756913087148,90.43203521159698,219.07690620461318,-4.602322580572346,0.2668629546365595,135.578821229773,154.01643188780952,140.09354966796482,15.144683631988414,111.85575856550656,121.26185160122574,139.77505673514239,159.48186156704807,170.7984210116633,2.2716255709573163,1.0073297971912138,0.03778268379351236,1775.742882073219
C_009,p3,07_11,2021-07-11,58,78.6024454368932,71.1164982524272,C_009_p3,18,29.9999999982,False,1,0.0,,,,,,,,,72.11432662905406,29.93535804925239,11.948503195672929,33.063331575066364,72.12053052258968,111.01696901852513,130.12087980126879,1.455205943584057,5.679658807112454,,5000.0
C_009,p3,07_18,2021-07-18,90,96.90142744336568,98.1490853074434,C_009_p3,8,12.0,False,2,7.0,83.32317437588392,54.69472663855488,-23.878489835683652,190.52483858745148,-5.100061430918769,0.606830076567688,71.1164982524272,71.1164982524272,96.49225888802854,15.065871669317517,68.19054273931474,80.57733894885195,97.09704911894414,112.91908735268633,122.70082273475951,4.197796540999841,1.34212934732921,0.051084544221598485,1398.8582840007218
C_009,p3,07_30,2021-07-30,146,150.34277262135922,153.877803236246,C_009_p3,11,17.39999999946,False,3,12.0,147.13170329314252,37.56553751099071,73.50324977160074,220.7601568146843,-4.58709181381188,0.5712596899447844,98.1490853074434,144.49066311604258,152.42969842268533,16.222588710088665,120.60156241938095,132.1625232606174,152.42276513326578,173.2156146058779,183.69667785752532,2.058804542166802,1.2856712651291016,0.03740426475215284,3147.7214455453395
C_009,p3,08_06,2021-08-06,136,145.97597009708738,149.71894368932,C_009_p3,11,17.39999999946,True,4,7.0,166.74891076190823,33.504389301843815,101.08030773029435,232.41751379352212,-4.593812224170401,0.30562477087942597,153.877803236246,186.3862220280475,154.66876189682623,15.633146391159022,124.55654992114167,134.79205754338412,154.62901731920036,174.56449186658568,185.40094235356176,1.9919979423770462,0.9981536780587695,0.0377671587803418,1941.6097690858244
C_010,p1,07_02,2021-07-02,70,74.85947184466019,73.6118139805825,C_010_p1,11,17.39999999946,False,1,0.0,,,,,,,,,73.86120699451114,17.185629910948435,40.365042275074,51.84790544951534,74.11937650048432,95.7405010722107,107.37852503972006,1.4124223251558243,5.667025334392842,,5000.0
C_010,p1,07_11,2021-07-11,90,114.36863754045308,93.1584538511327,C_010_p1,18,29.9999999982,False,2,9.0,87.43043874612499,65.62948770973912,-41.20335716496368,216.06423465721366,-5.207957434244535,0.5347747579518428,73.6118139805825,73.6118139805825,86.86198992999019,28.937625560520065,32.52859751290013,50.84554713885454,85.54692253038203,124.06429256823259,146.0199423370526,4.556262805366403,1.6399580279297719,0.05555508789401194,2965.261362964459
C_010,p1,07_18,2021-07-18,120,114.36863754045308,107.29857631068,C_010_p1,8,12.0,False,3,7.0,118.38105310551563,34.610878320413,50.54373159750615,186.2183746135251,-4.543157058859705,0.37440755611633647,93.1584538511327,108.36139597267176,109.1027340888292,12.273553669290626,86.05566375018631,94.40078630826092,108.65040842857,124.1037023150903,133.35048607652854,3.3545819617573995,1.1291565987381005,0.03571913476475265,1307.5498942504337
