k_dropped,true_ft,pred_ft,below_ft,error_ft,error_cm,image_id,camera
3,1.0,1.0192180323802411,2.0,0.019218032380241112,0.5857656269497491,25-BR546.UFMu-00589.2025-07-05-11-52.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.0081844226994607,1.0,0.008184422699460736,0.24946120387956325,25-BR546.UFMu-00589.2025-07-05-11-52.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.0008177062835858145,1.0,0.0008177062835858145,0.02492368752369563,25-BR546.UFMu-00589.2025-07-06-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.0028971518785328282,2.0,0.0028971518785328282,0.0883051892576806,25-BR546.UFMu-00589.2025-07-06-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.001387143267831,1.0,0.0013871432678309592,0.04228012680348764,25-BR546.UFMu-00589.2025-07-06-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,0.04714286639894381,3.0,0.04714286639894381,1.4369145678398072,25-BR546.UFMu-00589.2025-07-06-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.0279957209802477,2.0,0.027995720980247718,0.8533095754779505,25-BR546.UFMu-00589.2025-07-06-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.014812755518234,1.0,0.0148127555182338,0.4514927881957662,25-BR546.UFMu-00589.2025-07-06-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.36872548141248074,1.0,0.36872548141248074,11.238752673452414,25-BR546.UFMu-00589.2025-07-07-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.6248905707335295,2.0,0.6248905707335295,19.046664595957978,25-BR546.UFMu-00589.2025-07-07-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.3007070129113298,1.0,0.30070701291132984,9.165549753537334,25-BR546.UFMu-00589.2025-07-07-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,0.7208108761854852,3.0,0.7208108761854852,21.97031550613359,25-BR546.UFMu-00589.2025-07-07-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.373643030769477,2.0,0.3736430307694769,11.388639577853656,25-BR546.UFMu-00589.2025-07-07-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.072769382992642,1.0,0.07276938299264213,2.2180107936157323,25-BR546.UFMu-00589.2025-07-07-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.07271333465856424,1.0,-0.07271333465856424,-2.216302440393038,25-BR546.UFMu-00589.2025-07-08-11-45.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.06047354154369951,2.0,-0.06047354154369951,-1.8432335462519611,25-BR546.UFMu-00589.2025-07-08-11-45.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.010572499669366,1.0,0.010572499669365909,0.32224978992227293,25-BR546.UFMu-00589.2025-07-08-11-45.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.059888943522988874,3.0,-0.059888943522988874,-1.8254149985807009,25-BR546.UFMu-00589.2025-07-08-11-45.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.0109524394609333,2.0,0.010952439460933272,0.33383035476924616,25-BR546.UFMu-00589.2025-07-08-11-45.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.0002990029353622,1.0,0.0002990029353622248,0.00911360946984061,25-BR546.UFMu-00589.2025-07-08-11-45.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.2510200865957284,1.0,0.2510200865957284,7.651092239437801,25-BR546.UFMu-00589.2025-07-09-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.2388082449108229,2.0,0.2388082449108229,7.278875304881882,25-BR546.UFMu-00589.2025-07-09-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9893338396784268,1.0,-0.010666160321573193,-0.3251045666015509,25-BR546.UFMu-00589.2025-07-09-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,0.23331856693277497,3.0,0.23331856693277497,7.111549920110981,25-BR546.UFMu-00589.2025-07-09-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9854590260132126,2.0,-0.014540973986787442,-0.44320888711728124,25-BR546.UFMu-00589.2025-07-09-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9974331561482295,1.0,-0.0025668438517705283,-0.0782374006019657,25-BR546.UFMu-00589.2025-07-09-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.0737164483026259,1.0,-0.0737164483026259,-2.2468773442640373,25-BR546.UFMu-00589.2025-07-10-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.02447566221851885,2.0,-0.02447566221851885,-0.7460181844204546,25-BR546.UFMu-00589.2025-07-10-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.0427659535323033,1.0,0.04276595353230328,1.303506263664604,25-BR546.UFMu-00589.2025-07-10-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.04572198261160836,3.0,-0.04572198261160836,-1.393606030001823,25-BR546.UFMu-00589.2025-07-10-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.0290081451129234,2.0,0.029008145112923378,0.8841682630419045,25-BR546.UFMu-00589.2025-07-10-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9891028553814758,1.0,-0.010897144618524202,-0.33214496797261767,25-BR546.UFMu-00589.2025-07-10-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.36417070078477953,1.0,0.36417070078477953,11.09992295992008,25-BR546.UFMu-00589.2025-07-11-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.41806092360975383,2.0,0.41806092360975383,12.742496951625297,25-BR546.UFMu-00589.2025-07-11-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.0553515590019042,1.0,0.05535155900190425,1.6871155183780415,25-BR546.UFMu-00589.2025-07-11-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,0.5654664315556857,3.0,0.5654664315556857,17.2354168338173,25-BR546.UFMu-00589.2025-07-11-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.1677803043462536,2.0,0.16778030434625357,5.113943676473809,25-BR546.UFMu-00589.2025-07-11-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.088805709171908,1.0,0.08880570917190811,2.7067980155597593,25-BR546.UFMu-00589.2025-07-11-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
