rowid,plantid,date_md,date,height_true,height_est_cm,height_sam,plant_uid,max_gust,measurement_sd_cm,is_endpoint,online_sequence_number,elapsed_days,predictive_mean_cm,predictive_sd_cm,predictive_q025_cm,predictive_q975_cm,predictive_log_score,predictive_pit,last_observation_prediction_cm,linear_extrapolation_prediction_cm,posterior_mean_cm,posterior_sd_cm,posterior_q025_cm,posterior_q10_cm,posterior_median_cm,posterior_q90_cm,posterior_q975_cm,posterior_growth_mean_cm_day,posterior_growth_sd_cm_day,outlier_posterior_probability,effective_sample_size,ewma_cm,running_median3_cm,holt_cm,gaussian_kalman_cm
C_010,p1,07_11,2021-07-11,90,114.36863754045308,93.1584538511327,C_010_p1,18,29.9999999982,False,2,9.0,87.43043874612499,65.62948770973912,-41.20335716496368,216.0642346572137,-5.207957434244535,0.5347747579518428,73.6118139805825,73.6118139805825,86.86198992999019,28.937625560520065,32.52859751290013,50.84554713885454,85.54692253038203,124.0642925682326,146.0199423370526,4.556262805366403,1.639958027929772,0.0555550878940119,2965.261362964459,83.38513391585761,83.38513391585761,83.38513391585761,90.6740610731194
C_010,p1,07_18,2021-07-18,120,114.36863754045308,107.29857631068,C_010_p1,8,12.0,False,3,7.0,118.38105310551563,34.610878320413,50.54373159750615,186.2183746135251,-4.543157058859705,0.3744075561163364,93.1584538511327,108.36139597267176,109.1027340888292,12.273553669290626,86.05566375018631,94.40078630826092,108.65040842857,124.1037023150903,133.35048607652854,3.3545819617573995,1.1291565987381005,0.0357191347647526,1307.5498942504337,95.3418551132688,93.1584538511327,96.10200221934576,107.06509255187608
C_010,p1,07_30,2021-07-30,116,116.0321813592233,114.784523495146,C_010_p1,11,17.39999999946,True,4,12.0,148.86981098479558,37.13272539245448,76.0896692155848,221.64995275400636,-4.974630516290971,0.1793274408755361,107.29857631068,131.53878624133253,123.17443504579954,16.788094082205216,92.0887273156556,102.23106034033212,122.56620079646078,143.99462759284273,157.09545408840066,2.8100531710980787,1.4002545048576411,0.0489226679397748,2254.131937257371,105.06318930420741,107.29857631068,108.66578488332081,116.55826847712108
C_010,p2,07_02,2021-07-02,60,77.7706735275081,71.9482701618123,C_010_p2,11,17.39999999946,False,1,0.0,,,,,,,,,71.83816694433813,17.3343930627377,38.277862048380655,49.47255284550942,71.94651401456383,94.2177312735102,105.41620250874917,1.699584761274215,5.756587737066079,,5000.0,71.9482701618123,71.9482701618123,71.9482701618123,71.9482701618123
C_010,p2,07_11,2021-07-11,78,111.04154990291262,88.9995943042071,C_010_p2,18,29.9999999982,False,2,9.0,87.52629812100128,65.64741737615519,-41.142639936262896,216.19523617826545,-5.200169065804257,0.5089525350252772,71.9482701618123,71.9482701618123,83.95302879236775,29.082559123744836,29.913739854325254,47.15611078889495,83.66308314331336,120.88789208392662,141.6766144047121,4.622282791553701,1.5910377912096223,0.0553201833418963,2981.0483347183813,80.47393223300969,80.47393223300969,80.47393223300969,86.83235805104655
C_010,p2,07_18,2021-07-18,110,113.1209796763754,112.705093721683,C_010_p2,8,12.0,False,3,7.0,116.92357498322122,34.90972525929624,48.50051347500059,185.34663649144184,-4.474021114333305,0.4519089961611124,88.9995943042071,102.26173530384747,113.68247300533098,12.077700706074264,90.62524033680435,99.18626312414963,113.36255504959928,128.25227317084168,136.64303143019478,3.1252727379112395,1.0997854744172546,0.0336731577813363,1348.4073110988634,96.58951297734635,88.9995943042071,97.25262002732836,112.01823176799428
C_010,p2,07_30,2021-07-30,112,120.8148698381877,119.775154951456,C_010_p2,11,17.39999999946,True,4,12.0,151.8471571611164,37.82245208390507,77.71515107666247,225.97916324557036,-4.925591291288807,0.1982295662096409,112.705093721683,153.34309272307027,126.98990544918098,16.814207090609095,95.90930649813578,106.54882888836748,126.57501666147314,147.46258294228386,161.01360257061577,2.679625936167209,1.331600712792749,0.0470173175102426,2336.4936123323373,108.18233396440118,112.705093721683,112.2996379226793,122.1434747881939
C_010,p3,07_02,2021-07-02,80,77.35478757281554,78.6024454368932,C_010_p3,11,17.39999999946,False,1,0.0,,,,,,,,,78.7482994415577,17.396866954644057,43.83596566027544,56.32004194027989,78.99164530138862,100.68761918589054,112.03028899826458,1.4485027576534628,5.645991762679623,,5000.0,78.6024454368932,78.6024454368932,78.6024454368932,78.6024454368932
C_010,p3,07_11,2021-07-11,70,98.14908530744336,84.0089628478964,C_010_p3,18,29.9999999982,True,2,9.0,91.7863028299066,65.8947856943223,-37.36747713096511,220.9400827907783,-5.130926201663439,0.4530232758739347,78.6024454368932,78.6024454368932,80.26382023279673,27.8973830355028,28.499811733632377,45.38268476735898,79.3648841650438,116.35061886183742,136.84559498204752,4.80282698891097,1.53827490225011,0.0526696626494151,3116.893685714112,81.3057041423948,81.3057041423948,81.3057041423948,83.32179037738209
C_011,p1,07_11,2021-07-11,96,108.54623417475727,99.396743171521,C_011_p1,18,29.9999999982,False,1,0.0,,,,,,,,,100.48965301543174,29.62842914848133,42.54966613503839,62.35366934356148,100.21673212840366,137.70004951559764,158.60928907911068,1.4648241685170555,5.684505613869438,,5000.0,99.396743171521,99.396743171521,99.396743171521,99.396743171521
